classid,market_hash_name,type,icon_url
3186046283,Sticker | Natus Vincere (Holo) | Katowice 2019,Remarkable Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjMGgIXSA7FVwptelsxbpQAv4oZ7v8S0V7qL8PaY0cvXLDGXDkLYi4bBtS37jxEp0tm7VzNv8di3EaQAmXsQkQPlK7EeX3oHm4w
3759394724,Patch | Copper Lambda,Exotic Patch,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJW3z0i4VeWbwMuyMHOb5Fps7Mjk603kSSL5kpfs5Dpk4_OjaqBsH_OcHneV06Ahs7BtF3CwlB8m5mnSmYuhIniWOAJ0DcN4RrNc4RLpl9axNbuz5FaKlcsbmtzt-Ahg
310776948,SSG 08 | Blue Spruce (Field-Tested),Consumer Grade Sniper Rifle,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLijZGwpR1I4M2jZ7d-H_2WCm6FzKAutOM6F3y2zU9yt2vUw9ivcS-SaAImXMR3ROQD50G-k4G1ML7m4QKKlcsbmiIZgEQm
5327976466,Sticker | Into The Breach (Holo) | Paris 2023,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNqgJ3KEtwYnp8j9_lvYSRL9kdjjq3ZZt6v6aaI6JKHGWGHCwLp04LM4S33lwkx35DmGyNmpc3vBPw4gFNIuErSjWcKe
5327976268,Sticker | Fnatic (Holo) | Paris 2023,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNqgJ3KEtwYnp8jy5E3kfhX-kpmupHAOt6SvbaBocKXDV2bFk-0gsrIxHi_rlk5w5z_Ww9uhdiqWalMhCIwwG7AaVbv4pQ
5327976938,Sticker | Monte (Holo) | Paris 2023,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNqgJ3KEtwYnp8j55VfzfhX-kpmuriEIvfGrMaFpJvHFCDOTkLh15uI4H3qwkEUj5zzWzNevIHmVbwUgX4wwG7BDDkMFog
5327976360,Sticker | FURIA (Holo) | Paris 2023,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNqgJ3KEtwYnp8jy_0vufhX-kpmuqHAL7ab2bqA9JfXGWGKSl-sn5bk_TnDjwhl-5W6Hyoyoc3nDO1AnC4wwG7CgRbYRkA
5327976317,Sticker | MOUZ (Holo) | Paris 2023,Exotic Sticker,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGJai0ki7VeTHjNqgJ3KEtwYnp8j55Uz9fhX-kpmurnEDv6v7OadsdaWSWzCRxegi5ucxGXvlzUt_4GrVyo2hJy6RZwB2XIwwG7Cil66NZg
3035634678,P250 | Vino Primo (Field-Tested),Restricted Pistol,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyLhzMOwwiVI0OL8PfRSI_iWDWyV09F7teVgWiT9wkt25WvXyN2rdnKSbgRyXpMlReULtxjql4XkY-LhtlCM2YNEn3qr2zQJsHi0fYnaHg
3035629503,MP7 | Fade (Minimal Wear),Restricted SMG,https://steamcommunity-a.akamaihd.net/economy/image/i0CoZ81Ui0m-9KwlBY1L_18myuGuq1wfhWSaZgMttyVfPaERSR0Wqmu7LAocGIGz3UqlXOLrxM-vMGmW8VNxu5Dx60noTyL8jsHf_CNk6fOqbZtgMKesAm6Xyfo45LQ7Fy3rzR536j6HyYn6J3zFaAcjA5RwQ-9fs0O5m93nMe2x5QHfjZUFk3sMNd5yQw
